continent,Age,Year,SuicidesNo,Population,Suicides/100kPop
Africa,15-24 years,80220,2034,197204057,1.0314189428668803
Africa,25-34 years,80220,2160,164969723,1.3093311673924553
Africa,35-54 years,80220,2102,206323940,1.0187862833561632
Africa,5-14 years,80220,163,205834478,0.07918984301551268
Africa,55-74 years,80220,691,85167410,0.8113432121512207
Africa,75+ years,80220,171,13631154,1.2544792612569706
Asia,15-24 years,1301548,133339,1472169553,9.05731270751257
Asia,25-34 years,1301548,182315,1399816055,13.024211241812052
Asia,35-54 years,1301548,403343,2378937363,16.954754936941985
Asia,5-14 years,1281388,8641,1447874503,0.5968058683329132
Asia,55-74 years,1301548,327725,1452050962,22.5698001362572
Asia,75+ years,1301548,119832,418375674,28.64220064572875
Europe,15-24 years,3330880,295528,2410940686,12.257788078988849
Europe,25-34 years,3330880,479238,2602714310,18.41300822601617
Europe,35-54 years,3330880,1142506,4972643098,22.975829503217646
Europe,5-14 years,3298624,16441,2088612208,0.7871734129019321
Europe,55-74 years,3330880,786008,3560432671,22.076193334649915
Europe,75+ years,3330880,298331,1140624481,26.15505847625236
North America,15-24 years,1300428,206334,2194229064,9.40348495903434
North America,25-34 years,1300428,244283,2084527591,11.718866233994596
North America,35-54 years,1300428,478530,3480142856,13.7502976113461
North America,5-14 years,1300428,14999,2242589812,0.6688249415805337
North America,55-74 years,1300428,273685,1981845804,13.809601102548742
North America,75+ years,1300428,113084,639291141,17.68896716183339
Oceania,15-24 years,280068,14629,103170587,14.179428871525175
Oceania,25-34 years,280068,18132,105712365,17.15220352888709
Oceania,35-54 years,280068,30869,191351410,16.13209957533106
Oceania,5-14 years,280068,486,98068860,0.49557015346155747
Oceania,55-74 years,280068,15277,117702446,12.979339443803912
Oceania,75+ years,280068,5405,37649939,14.355932953835596
South America,15-24 years,1052058,100629,1652950896,6.087839647476134
South America,25-34 years,1052058,96388,1445096692,6.670003504512901
South America,35-54 years,1052058,140455,2021960087,6.946477376237151
South America,5-14 years,1052058,8463,1754136849,0.4824595073539784
South America,55-74 years,1052058,77840,934976160,8.325345963901368
South America,75+ years,1052058,23205,199798113,11.614223804005597
