continent,Gender,Year,SuicidesNo,Population,Suicides/100kPop
Africa,female,240660,1602,446333781,0.3589242105786297
Africa,male,240660,5719,426796981,1.3399813622392984
Asia,female,3894564,336093,4333868072,7.755035326788324
Asia,male,3894564,839102,4235356038,19.811840904790543
Europe,female,9976512,634196,8736247555,7.2593638860088365
Europe,male,9976512,2383856,8039719899,29.65098324254443
North America,female,3901284,277192,6420480732,4.317309117033263
North America,male,3901284,1053723,6202145536,16.98965291742551
Oceania,female,840204,18772,329691620,5.6938056235702925
Oceania,male,840204,66026,323963987,20.380660397292864
South America,female,3156174,97419,4065050363,2.396501674043343
South America,male,3156174,349561,3943868434,8.863404189309222
